MOLECULE_NAME,y_actual,y_pred,residual,leverage,std_residual,residual_flag,leverage_flag,note
504-001-01,3.51,2.774180079732114,0.7358199202678857,0.08147468095896722,3.593721149357833,std_residual,,std_residual
504-012-02,0.45,1.4517540478800828,-1.0017540478800828,0.11914974527173633,-4.87716691540696,std_residual,,std_residual
504-094-01,1.05,1.0905748856226505,-0.040574885622650436,0.9992163009404386,-0.1912995837586381,,leverage,leverage
504-101-01,0.49,1.208760599883047,-0.7187605998830471,0.07514222500447415,-3.4975388448967637,std_residual,,std_residual
504-133-01,2.52,1.442432964361315,1.077567035638685,0.09094940308755033,5.259780617230672,std_residual,,std_residual
504-140-01,0.95,0.9856071284930472,-0.03560712849304726,0.9992163009404387,-0.16708115314836655,,leverage,leverage
504-140-46,1.79,1.811679817377494,-0.021679817377493915,0.4628058030218794,-0.09918378839401602,,leverage,leverage
504-140-47,1.06,2.3036419395281005,-1.2436419395281004,0.10587745222407524,-6.056400313197955,std_residual,,std_residual
504-146-01,0.9,0.9102637886187894,-0.010263788618789405,0.5014716705061797,-0.04352923582138761,,leverage,leverage
504-161-01,1.99,1.9877889577848464,0.002211042215153558,0.47350629091821067,0.017287107861431863,,leverage,leverage
504-267-01,1.24,1.2254939094606248,0.014506090539375238,0.9992163009404375,0.07722698956693781,,leverage,leverage
504-308-01,0.34,1.6576696981831902,-1.3176696981831901,0.06735566709383696,-6.417294795244711,std_residual,,std_residual
504-316-01,3.09,2.285880966506118,0.8041190334938819,0.12211903508119928,3.9266877761983445,std_residual,,std_residual
504-327-01,3.25,2.480116387013287,0.769883612986713,0.047590824810757805,3.7597858656710543,std_residual,,std_residual
504-362-01,1.62,0.939391881075021,0.6806081189249791,0.09010952025269268,3.3245567870899677,std_residual,,std_residual
504-437-01,2.86,2.12657885151887,0.7334211484811299,0.06120425665305535,3.582026840124954,std_residual,,std_residual
504-450-01,2.57,2.546173663668632,0.02382633633136777,0.5280324111142105,0.12266434088972221,,leverage,leverage
504-465-01,2.51,2.517565808351541,-0.007565808351541303,0.6769817229350743,-0.030376248228483803,,leverage,leverage
504-473-01,1.66,1.632767816218168,0.027232183781831898,0.5280324111142105,0.13926826857706961,,leverage,leverage
504-524-01,0.94,1.567726669668387,-0.627726669668387,0.06948551071522821,-3.0537371725190807,std_residual,,std_residual
504-532-01,0.85,1.6362104151328285,-0.7862104151328285,0.09317195295550115,-3.8263650390293567,std_residual,,std_residual
601-800-01,4.89,4.906933846139091,-0.016933846139091102,0.6302283985577039,-0.07604659144236384,,leverage,leverage
601-802-01,2.09,2.1038605949478253,-0.013860594947825433,0.6769817229350763,-0.0610641116669189,,leverage,leverage
601-803-01,2.16,2.1937883736817136,-0.0337883736817135,0.999216300940425,-0.15821449842949897,,leverage,leverage
601-810-01,2.47,2.4747026670180072,-0.004702667018007034,0.527141716518193,-0.01641808000395569,,leverage,leverage
601-811-01,2.54,2.5458611490037946,-0.00586114900379453,0.49467919358021084,-0.022065823010322273,,leverage,leverage
AGH-079-02,3.24,2.160855351696754,1.079144648303246,0.06893008303761122,5.267471674150278,std_residual,,std_residual
AGH-116-02,3.18,2.4827936462315945,0.6972063537684057,0.16578385947151084,3.4054752354603752,std_residual,,std_residual
AGH-117-01,0.89,1.625232170527358,-0.735232170527358,0.2590307851613887,-3.5778397896257776,std_residual,,std_residual
AGH-145-05,3.18,2.518603707714669,0.6613962922853314,0.10068639251140175,3.230896755363328,std_residual,,std_residual
AGH-154-01,2.97,2.342600409269435,0.6273995907305654,0.07405500254953351,3.0651586292629527,std_residual,,std_residual
AGH-179-02,2.89,1.9748010642297724,0.9151989357702277,0.12092335959862506,4.468216042434322,std_residual,,std_residual
AGH-188-01,2.42,2.4520304483990003,-0.03203044839900038,0.9992163009404392,-0.14964439518839492,,leverage,leverage
AGH-232-02,3.06,2.305497213333258,0.754502786666742,0.10310183502150184,3.684802434468448,std_residual,,std_residual
AGH-234-02,2.95,2.0247118617481386,0.9252881382518616,0.04699857957469287,4.5174021527532755,std_residual,,std_residual
AGH-282-01,0.97,0.2839647535166709,0.686035246483329,0.02369832041928507,3.3510147053729997,std_residual,,std_residual
CPBB-169-01,4.9,3.897871981568685,1.0021280184313155,0.13117416323732153,4.892006075142762,std_residual,,std_residual
