MOLECULE_NAME,y_actual,y_pred,residual,leverage,std_residual
100-00-5,2.39,2.1941729,0.19582710000000025,0.09128874466410702,0.3441833260787701
100-01-6,2.025,1.419269,0.605731,0.1764768479531621,1.0592610969428196
100-02-7,1.91,1.8979045,0.012095499999999815,0.2094730108649352,0.023663362825711128
100-06-1,1.74,1.0956445,0.6443555000000001,0.2212309082971401,1.1266415765155646
100-09-4,1.96,1.874814,0.08518599999999998,0.1608515250679427,0.15116981448752492
100-18-5,5.23,4.837834,0.39216600000000046,0.2678281169374125,0.6866967370170406
100-20-9,0.88,1.5289617,-0.6489617,0.2955181440675019,-1.1295515955819306
100-21-0,1.987,1.907945,0.0790550000000001,0.27313953078927267,0.1404742787456903
100-25-4,1.46,1.6302371,-0.17023710000000003,0.2483023697507828,-0.29441604350305606
100-39-0,2.92,2.6117477,0.3082522999999999,0.09374332881495495,0.5403092019363668
100-40-3,3.93,3.858956,0.07104400000000011,0.2248269920002981,0.12649908108986926
100-41-4,3.125,3.0908654,0.03413459999999979,0.08335491821959275,0.062110595213228946
100-42-5,2.967,3.244294,-0.27729399999999993,0.13576137917807615,-0.48117691454530626
100-44-7,2.3,2.439916,-0.13991600000000037,0.11509814701279743,-0.24152085368381865
100-46-9,1.09,1.605275,-0.5152749999999999,0.10728633011323253,-0.8963350113284728
100-47-0,1.56,2.8774827,-1.3174826999999998,0.07315660135253332,-2.295787160688301
100-51-6,1.1,1.6461884,-0.5461883999999999,0.12148333393535626,-0.9502634691007182
100-52-7,1.48,1.4238166,0.05618339999999988,0.19870569269686467,0.10057474926062232
100-61-8,1.68,1.740217,-0.060216999999999965,0.219257298905644,-0.10248586704403746
100-66-3,2.11,2.0374205,0.0725794999999998,0.14956657289640482,0.12917776240312714
100-68-5,2.74,2.992961,-0.252961,0.09049567652714162,-0.43872797127241986
100-69-6,1.465,1.6824789,-0.21747889999999992,0.20981334473682328,-0.3768294116988824
100-97-0,-2.18,-1.1681675,-1.0118325000000001,0.6473343427852866,-1.7625800756126269
1003-03-8,0.83,1.7873969,-0.9573969000000001,0.1199572456055476,-1.6676171159929527
10031-82-0,2.09,1.9217815,0.16821849999999983,0.27334032097499705,0.2960200952710673
10041-19-7,3.95,4.6145244,-0.6645243999999995,0.346801224824084,-1.156700741575969
101-41-7,1.825,2.096027,-0.2710269999999999,0.10578741307897385,-0.4702441266650128
101-43-9,3.13,3.14464,-0.014639999999999986,0.2161123921041408,-0.022976744143106832
101-81-5,4.14,4.2353487,-0.09534870000000062,0.20718775948609036,-0.1637731534608415
101-84-8,4.21,4.3236246,-0.11362459999999963,0.2720925630413347,-0.19565547961712737
101-94-0,3.79,3.375376,0.4146239999999999,0.1874997896885299,0.7258747408810302
101-97-3,2.28,2.6134846,-0.33348460000000024,0.10172909399091418,-0.5792014734517077
10127-27-2,-1.56,-0.8360799,-0.7239201000000001,0.37100955032015726,-1.2603166006954118
10191-18-1,-3.59,-2.353878,-1.236122,0.28847947153174064,-2.1538533367067814
102-09-0,3.28,3.4754968,-0.19549680000000036,0.29655901339422325,-0.33848161586939574
102-69-2,2.79,2.6746616,0.11533840000000017,0.4516590803023832,0.2037707069850135
102-76-1,0.237,-0.14991722,0.38691721999999995,0.3816604967116449,0.6775402349633735
103-09-3,4.16,4.2464185,-0.08641849999999973,0.1249866152122801,-0.14819441046920184
103-11-7,4.64,4.8151417,-0.17514170000000018,0.09912713526045434,-0.30297212319632055
103-16-2,3.2,3.25873,-0.05872999999999973,0.23778197264253792,-0.0998917940301554
103-23-1,8.94,7.785168,1.1548319999999999,0.3210003301987113,2.017168350470343
103-25-3,2.32,2.1745744,0.14542559999999982,0.18528412188486248,0.25625785801612244
103-28-6,2.99,3.1814492,-0.19144919999999965,0.27297053518736414,-0.3314205735486229
103-30-0,4.81,4.5288754,0.28112459999999917,0.17345635625746675,0.4929849016682571
103-33-3,3.82,3.1222687,0.6977313,0.43090315358547565,1.21975571395628
103-37-7,3.127,3.0955548,0.03144519999999984,0.16329455712426227,0.05741893417521066
103-38-8,3.26,3.3165045,-0.0565045000000004,0.22070066817925993,-0.0960094070144245
103-41-3,4.18,4.1899023,-0.009902300000000253,0.22191701058189411,-0.014711821669760232
