MOLECULE_NAME,y_actual,y_pred
302-542-04,4.34,4.349517268040618
302-543-01,1.47,1.4302561789034685
302-548-01,2.62,2.6002004688106806
302-549-01,3.33,3.2856774423608193
302-553-02,3.01,2.999747707118336
302-554-02,3.22,3.249025423998776
302-555-02,3.17,3.1350290513742642
302-556-01,2.17,2.1773458995173316
302-557-01,1.76,1.7741995021859902
302-558-01,1.64,1.600521034044585
302-560-01,2.04,2.0157897025985543
302-561-01,1.51,1.4988969763258364
302-562-01,1.78,1.7570598912096105
302-563-01,1.74,1.7499942587035293
302-564-01,1.44,1.448287474340186
302-565-01,2.35,2.362920572349071
302-566-01,2.34,2.3347837965555867
302-567-01,1.53,1.5052006812226582
302-568-01,1.65,1.6780337595652512
302-569-01,2.17,2.137446308383862
302-570-01,1.49,1.4607263749131563
302-571-01,1.62,1.587863282773264
302-572-01,2.36,2.3939060320575636
302-573-01,1.71,1.6794918796452931
302-574-01,1.71,1.6794918796452931
302-577-01,1.8,1.8055215489092378
302-578-01,2.08,2.080040721178242
302-579-01,2.2,2.1597213498654546
302-580-01,2.65,2.6594517111196456
302-592-11,2.09,2.0787791130035806
302-595-01,1.93,1.9043219098933313
302-596-01,3.48,3.4884685851046147
302-597-01,3.33,3.3075426754895974
302-599-01,3.73,3.7027711970003523
302-600-01,2.88,2.8352816920172925
302-601-03,3.38,3.3932617857540137
302-602-02,3.68,3.6967640960530357
302-603-01,3.29,3.300009585317849
302-604-01,2.68,2.6927847753096064
302-605-01,1.98,1.9557342426544593
302-606-01,2.34,2.3094672045181426
302-607-01,2.44,2.4544930156863454
302-609-01,1.52,1.5444869386740057
302-610-01,1.37,1.3820599650610794
302-611-01,3.28,3.2653664803522053
302-612-01,3.44,3.437723301522982
302-613-01,2.51,2.5107492935384657
302-614-01,2.74,2.6966153708150458
302-615-01,3.15,3.1249502845259047
302-616-01,2.65,2.6080689584767325
304-082-04,2.62,2.5864183916110752
304-100-03,2.75,2.7319511627906197
304-110-01,1.31,1.3275178588437107
304-457-02,2.93,2.9349150724127506
304-457-05,2.91,2.9045715963487733
305-223-02,1.32,1.3195851919039905
305-632-02,1.36,1.321575429060165
305-645-02,2.16,2.1323160165852464
305-646-02,3.01,2.9950186763265423
305-683-02,2.26,2.2251316673210724
305-687-01,1.58,1.5305360057756068
305-712-02,0.99,0.9862430560221815
305-719-01,1.17,1.1394267354934637
305-726-02,3.17,3.1922422899593403
305-727-02,2.4,2.419058355599813
305-728-02,2.73,2.7087571093291714
305-729-02,2.43,2.4334182960504678
305-730-01,0.51,0.5291843319004683
305-735-02,3.45,3.4164069651163445
305-736-02,3.55,3.5390620950246467
305-743-02,2.49,2.466333733780279
305-744-02,1.31,1.3505658886344314
305-747-02,1.7,1.672166294918826
